name,type,value1,value,date
内蒙古自治区,,80.82,808200,2007年
四川省,,23.8,238000,2007年
湖南省,,10.3,103000,2007年
湖北省,,6.09,60900,2007年
辽宁省,,6.97,69700,2007年
江西省,,1.08,10800,2007年
云南省,,10.19,101900,2007年
新疆维吾尔自治区,,60.55,605500,2007年
山西省,,5.16,51600,2007年
北京市,,1.45,14500,2008年
广西壮族自治区,,2.92,29200,2008年
陕西省,,7.37,73700,2008年
广东省,,0.82,8200,2008年
甘肃省,,15.35,153500,2008年
重庆市,,1.78,17800,2008年
贵州省,,3.04,30400,2008年
浙江省,,1.84,18400,2008年
福建省,,1.65,16500,2008年
宁夏回族自治区,,5.88,58800,2008年
天津市,,1.44,14400,2008年
海南省,,1.04,10400,2008年
西藏自治区,,8.28,82800,2008年
上海市,,0.54,5400,2008年
青海省,,8.67,86700,2008年
黑龙江省,,10.47,104700,2008年
河南省,,26.5,265000,2008年
山东省,,33.21,332100,2008年
安徽省,,13.42,134200,2008年
河北省,,26.48,264800,2008年
江苏省,,7,70000,2008年
吉林省,,3.51,35100,2008年
内蒙古自治区,,84.84,848400,2008年
四川省,,24,240000,2008年
湖南省,,10.57,105700,2008年
湖北省,,7.3,73000,2008年
辽宁省,,7.34,73400,2008年
江西省,,1.15,11500,2008年
云南省,,11.47,114700,2008年
新疆维吾尔自治区,,45.97,459700,2008年
山西省,,5.05,50500,2008年
北京市,,1.4,14000,2009年
广西壮族自治区,,3.16,31600,2009年
陕西省,,7.3,73000,2009年
广东省,,0.88,8800,2009年
甘肃省,,15.64,156400,2009年
重庆市,,2.06,20600,2009年
贵州省,,3.23,32300,2009年
浙江省,,1.74,17400,2009年
福建省,,1.74,17400,2009年
宁夏回族自治区,,6.8,68000,2009年
天津市,,1.48,14800,2009年
海南省,,1.11,11100,2009年
西藏自治区,,8.38,83800,2009年
上海市,,0.56,5600,2009年
青海省,,8.85,88500,2009年
黑龙江省,,11.58,115800,2009年
河南省,,25.89,258900,2009年
山东省,,32.9,329000,2009年
安徽省,,13.82,138200,2009年
河北省,,28.02,280200,2009年
江苏省,,7.5,75000,2009年
吉林省,,3.65,36500,2009年
内蒙古自治区,,88.2,882000,2009年
四川省,,24.3,243000,2009年
湖南省,,11,110000,2009年
湖北省,,7.84,78400,2009年
辽宁省,,7.84,78400,2009年
江西省,,1.11,11100,2009年
云南省,,12.07,120700,2009年
新疆维吾尔自治区,,43.8,438000,2009年
山西省,,5.58,55800,2009年
北京市,,1.4,14000,2010年
广西壮族自治区,,3.3,33000,2010年
陕西省,,7.26,72600,2010年
广东省,,0.91,9100,2010年
甘肃省,,15.6,156000,2010年
重庆市,,2.45,24500,2010年
贵州省,,3.4,34000,2010年
浙江省,,1.9,19000,2010年
福建省,,1.82,18200,2010年
宁夏回族自治区,,7.3,73000,2010年
天津市,,1.5,15000,2010年
海南省,,1.1,11000,2010年
西藏自治区,,8.71,87100,2010年
上海市,,0.54,5400,2010年
青海省,,9.78,97800,2010年
黑龙江省,,12.13,121300,2010年
河南省,,25.2,252000,2010年
山东省,,32.67,326700,2010年
安徽省,,14.2,142000,2010年
河北省,,29.31,293100,2010年
江苏省,,7.37,73700,2010年
吉林省,,3.83,38300,2010年
内蒙古自治区,,89.2,892000,2010年
四川省,,24.8,248000,2010年
湖南省,,10.6,106000,2010年
湖北省,,8.09,80900,2010年
辽宁省,,7.94,79400,2010年
江西省,,1.1,11000,2010年
云南省,,12.9,129000,2010年
新疆维吾尔自治区,,46.95,469500,2010年
山西省,,5.6,56000,2010年
北京市,,1.29,12900,2011年
广西壮族自治区,,3.21,32100,2011年
陕西省,,6.7,67000,2011年
广东省,,0.93,9300,2011年
甘肃省,,15.43,154300,2011年
重庆市,,2.61,26100,2011年
贵州省,,3.37,33700,2011年
浙江省,,1.84,18400,2011年
福建省,,1.9,19000,2011年
宁夏回族自治区,,7.85,78500,2011年
天津市,,1.49,14900,2011年
海南省,,1.11,11100,2011年
西藏自治区,,8.63,86300,2011年
上海市,,0.55,5500,2011年
青海省,,9.94,99400,2011年
黑龙江省,,11.75,117500,2011年
河南省,,24.8,248000,2011年
山东省,,32.49,324900,2011年
安徽省,,14.18,141800,2011年
河北省,,28.41,284100,2011年
江苏省,,7.32,73200,2011年
吉林省,,3.9,39000,2011年
内蒙古自治区,,87.23,872300,2011年
四川省,,23.9,239000,2011年
湖南省,,10.23,102300,2011年
湖北省,,8.02,80200,2011年
辽宁省,,7.91,79100,2011年
江西省,,1.09,10900,2011年
云南省,,13.03,130300,2011年
新疆维吾尔自治区,,46.44,464400,2011年
山西省,,5.55,55500,2011年
北京市,,1.21,12100,2012年
广西壮族自治区,,3.25,32500,2012年
陕西省,,6.85,68500,2012年
广东省,,0.88,8800,2012年
甘肃省,,15.9,159000,2012年
重庆市,,2.79,27900,2012年
贵州省,,3.53,35300,2012年
浙江省,,1.67,16700,2012年
福建省,,1.96,19600,2012年
宁夏回族自治区,,8.45,84500,2012年
天津市,,1.47,14700,2012年
海南省,,1.03,10300,2012年
西藏自治区,,8.51,85100,2012年
上海市,,0.57,5700,2012年
青海省,,10.39,103900,2012年
黑龙江省,,12.11,121100,2012年
河南省,,24.75,247500,2012年
山东省,,33.1,331000,2012年
安徽省,,14.59,145900,2012年
河北省,,28.7,287000,2012年
江苏省,,7.61,76100,2012年
吉林省,,4.09,40900,2012年
内蒙古自治区,,88.63,886300,2012年
四川省,,24.02,240200,2012年
湖南省,,10.3,103000,2012年
湖北省,,8.15,81500,2012年
辽宁省,,7.89,78900,2012年
江西省,,1.1,11000,2012年
云南省,,13.55,135500,2012年
新疆维吾尔自治区,,48.01,480100,2012年
山西省,,5.93,59300,2012年
北京市,,1.19,11900,2013年
广西壮族自治区,,3.24,32400,2013年
陕西省,,7.04,70400,2013年
广东省,,0.89,8900,2013年
甘肃省,,16.57,165700,2013年
重庆市,,2.99,29900,2013年
贵州省,,3.51,35100,2013年
浙江省,,1.69,16900,2013年
福建省,,2.07,20700,2013年
宁夏回族自治区,,9.04,90400,2013年
天津市,,1.49,14900,2013年
海南省,,1.06,10600,2013年
西藏自治区,,8.57,85700,2013年
上海市,,0.56,5600,2013年
青海省,,10.53,105300,2013年
黑龙江省,,11.82,118200,2013年
河南省,,24.76,247600,2013年
山东省,,33.69,336900,2013年
安徽省,,15,150000,2013年
河北省,,29.05,290500,2013年
江苏省,,7.79,77900,2013年
吉林省,,4.24,42400,2013年
内蒙古自治区,,88.8,888000,2013年
四川省,,24.55,245500,2013年
湖南省,,10.7,107000,2013年
湖北省,,8.22,82200,2013年
辽宁省,,8.05,80500,2013年
江西省,,1.12,11200,2013年
云南省,,14,140000,2013年
新疆维吾尔自治区,,49.71,497100,2013年
山西省,,6.2,62000,2013年
北京市,,1.17,11700,2014年
广西壮族自治区,,3.24,32400,2014年
陕西省,,7.49,74900,2014年
广东省,,0.9,9000,2014年
甘肃省,,17.91,179100,2014年
重庆市,,3.37,33700,2014年
贵州省,,3.75,37500,2014年
浙江省,,1.69,16900,2014年
福建省,,2.22,22200,2014年
宁夏回族自治区,,9.51,95100,2014年
天津市,,1.57,15700,2014年
海南省,,1.09,10900,2014年
西藏自治区,,7.88,78800,2014年
上海市,,0.54,5400,2014年
青海省,,10.92,109200,2014年
黑龙江省,,11.85,118500,2014年
河南省,,25.4,254000,2014年
山东省,,36.01,360100,2014年
安徽省,,15.49,154900,2014年
河北省,,30.44,304400,2014年
江苏省,,8.01,80100,2014年
吉林省,,4.5,45000,2014年
内蒙古自治区,,93.33,933300,2014年
四川省,,25.31,253100,2014年
湖南省,,11.1,111000,2014年
湖北省,,8.61,86100,2014年
辽宁省,,8.9,89000,2014年
江西省,,1.14,11400,2014年
云南省,,14.55,145500,2014年
新疆维吾尔自治区,,53.61,536100,2014年
山西省,,6.7,67000,2014年
北京市,,1.2,12000,2015年
广西壮族自治区,,3.24,32400,2015年
陕西省,,7.81,78100,2015年
广东省,,0.91,9100,2015年
甘肃省,,19.63,196300,2015年
重庆市,,3.81,38100,2015年
贵州省,,4.2,42000,2015年
浙江省,,1.8,18000,2015年
福建省,,2.36,23600,2015年
宁夏回族自治区,,10.11,101100,2015年
天津市,,1.61,16100,2015年
海南省,,1.04,10400,2015年
西藏自治区,,8.23,82300,2015年
上海市,,0.56,5600,2015年
青海省,,11.56,115600,2015年
黑龙江省,,12.32,123200,2015年
河南省,,25.9,259000,2015年
山东省,,37.09,370900,2015年
安徽省,,16.58,165800,2015年
河北省,,31.67,316700,2015年
江苏省,,8.14,81400,2015年
吉林省,,4.79,47900,2015年
内蒙古自治区,,92.59,925900,2015年
四川省,,26.35,263500,2015年
湖南省,,11.6,116000,2015年
湖北省,,8.81,88100,2015年
辽宁省,,8.45,84500,2015年
江西省,,1.16,11600,2015年
云南省,,14.98,149800,2015年
新疆维吾尔自治区,,55.43,554300,2015年
山西省,,6.9,69000,2015年
北京市,,1.16,11600,2016年
广西壮族自治区,,3.26,32600,2016年
陕西省,,7.99,79900,2016年
广东省,,0.89,8900,2016年
甘肃省,,21.05,210500,2016年
重庆市,,4.12,41200,2016年
贵州省,,4.5,45000,2016年
浙江省,,1.91,19100,2016年
福建省,,2.52,25200,2016年
宁夏回族自治区,,10.52,105200,2016年
天津市,,1.62,16200,2016年
海南省,,1.09,10900,2016年
西藏自治区,,8.23,82300,2016年
上海市,,0.5,5000,2016年
青海省,,11.98,119800,2016年
黑龙江省,,12.81,128100,2016年
河南省,,26.44,264400,2016年
山东省,,38.39,383900,2016年
安徽省,,17.35,173500,2016年
河北省,,32.37,323700,2016年
江苏省,,8.26,82600,2016年
吉林省,,4.81,48100,2016年
内蒙古自治区,,98.98,989800,2016年
四川省,,26.89,268900,2016年
湖南省,,11.97,119700,2016年
湖北省,,8.89,88900,2016年
辽宁省,,8.7,87000,2016年
江西省,,1.26,12600,2016年
云南省,,15.13,151300,2016年
新疆维吾尔自治区,,58.32,583200,2016年
山西省,,7.43,74300,2016年
北京市,,1.06,10600,2017年
广西壮族自治区,,3.32,33200,2017年
陕西省,,9.8,98000,2017年
广东省,,1.96,19600,2017年
甘肃省,,22.76,227600,2017年
重庆市,,6.8,68000,2017年
贵州省,,4.81,48100,2017年
浙江省,,2.36,23600,2017年
福建省,,1.94,19400,2017年
宁夏回族自治区,,9.91,99100,2017年
天津市,,1.42,14200,2017年
海南省,,1.15,11500,2017年
西藏自治区,,6.35,63500,2017年
上海市,,0.35,3500,2017年
青海省,,12.68,126800,2017年
黑龙江省,,12.9,129000,2017年
河南省,,26.1,261000,2017年
山东省,,36.03,360300,2017年
安徽省,,16.51,165100,2017年
河北省,,30.1,301000,2017年
江苏省,,7.99,79900,2017年
吉林省,,4.87,48700,2017年
内蒙古自治区,,104.13,1041300,2017年
四川省,,27.24,272400,2017年
湖南省,,14.94,149400,2017年
湖北省,,9.67,96700,2017年
辽宁省,,7.02,70200,2017年
江西省,,1.97,19700,2017年
云南省,,18.15,181500,2017年
新疆维吾尔自治区,,58.24,582400,2017年
山西省,,8.56,85600,2017年
北京市,,0.6,6000,2018年
广西壮族自治区,,3.37,33700,2018年
陕西省,,9.57,95700,2018年
广东省,,1.97,19700,2018年
甘肃省,,23.6,236000,2018年
重庆市,,6.76,67600,2018年
贵州省,,5.03,50300,2018年
浙江省,,2.29,22900,2018年
福建省,,2.04,20400,2018年
宁夏回族自治区,,9.9,99000,2018年
天津市,,1.18,11800,2018年
海南省,,1.15,11500,2018年
西藏自治区,,5.86,58600,2018年
上海市,,0.26,2600,2018年
青海省,,13.12,131200,2018年
黑龙江省,,12.46,124600,2018年
河南省,,26.9,269000,2018年
山东省,,36.78,367800,2018年
安徽省,,17.14,171400,2018年
河北省,,30.54,305400,2018年
江苏省,,7.79,77900,2018年
吉林省,,4.62,46200,2018年
内蒙古自治区,,106.34,1063400,2018年
四川省,,26.31,263100,2018年
湖南省,,14.9,149000,2018年
湖北省,,9.75,97500,2018年
辽宁省,,6.6,66000,2018年
江西省,,2.1,21000,2018年
云南省,,18.64,186400,2018年
新疆维吾尔自治区,,59.38,593800,2018年
山西省,,8.13,81300,2018年
