name,type,value1,value,date
罗,,1400000,1400,2010年
罗,,1400000,1400,2011年
罗,,1400000,1400,2012年
罗,,1400000,1400,2013年
罗,,1400000,1400,2014年
罗,,1400000,1400,2015年
罗,,1400000,1400,2016年
罗,,1400000,1400,2017年
高,,1410000,1410,1999年
高,,1410000,1410,2000年
高,,1410000,1410,2001年
高,,1410000,1410,2002年
高,,1410000,1410,2003年
高,,1410000,1410,2004年
高,,1410000,1410,2005年
高,,1410000,1410,2006年
高,,1410000,1410,2007年
高,,1410000,1410,2008年
高,,1410000,1410,2009年
高,,1410000,1410,2010年
高,,1410000,1410,2011年
高,,1410000,1410,2012年
高,,1410000,1410,2013年
高,,1410000,1410,2014年
高,,1410000,1410,2015年
高,,1410000,1410,2016年
高,,1410000,1410,2017年
林,,1420000,1420,2000年
林,,1420000,1420,2001年
林,,1420000,1420,2002年
林,,1420000,1420,2003年
林,,1420000,1420,2004年
林,,1420000,1420,2005年
林,,1420000,1420,2006年
林,,1420000,1420,2007年
林,,1420000,1420,2008年
林,,1420000,1420,2009年
林,,1420000,1420,2010年
林,,1420000,1420,2011年
林,,1420000,1420,2012年
林,,1420000,1420,2013年
林,,1420000,1420,2014年
林,,1420000,1420,2015年
林,,1420000,1420,2016年
林,,1420000,1420,2017年
何,,1480000,1480,2001年
何,,1480000,1480,2002年
何,,1480000,1480,2003年
何,,1480000,1480,2004年
何,,1480000,1480,2005年
何,,1480000,1480,2006年
何,,1480000,1480,2007年
何,,1480000,1480,2008年
何,,1480000,1480,2009年
何,,1480000,1480,2010年
何,,1480000,1480,2011年
何,,1480000,1480,2012年
何,,1480000,1480,2013年
何,,1480000,1480,2014年
何,,1480000,1480,2015年
何,,1480000,1480,2016年
何,,1480000,1480,2017年
郭,,1580000,1580,2002年
郭,,1580000,1580,2003年
郭,,1580000,1580,2004年
郭,,1580000,1580,2005年
郭,,1580000,1580,2006年
郭,,1580000,1580,2007年
郭,,1580000,1580,2008年
郭,,1580000,1580,2009年
郭,,1580000,1580,2010年
郭,,1580000,1580,2011年
郭,,1580000,1580,2012年
郭,,1580000,1580,2013年
郭,,1580000,1580,2014年
郭,,1580000,1580,2015年
郭,,1580000,1580,2016年
郭,,1580000,1580,2017年
胡,,1650000,1650,2003年
胡,,1650000,1650,2004年
胡,,1650000,1650,2005年
胡,,1650000,1650,2006年
胡,,1650000,1650,2007年
胡,,1650000,1650,2008年
胡,,1650000,1650,2009年
胡,,1650000,1650,2010年
胡,,1650000,1650,2011年
胡,,1650000,1650,2012年
胡,,1650000,1650,2013年
胡,,1650000,1650,2014年
胡,,1650000,1650,2015年
胡,,1650000,1650,2016年
胡,,1650000,1650,2017年
朱,,1810000,1810,2004年
朱,,1810000,1810,2005年
朱,,1810000,1810,2006年
朱,,1810000,1810,2007年
朱,,1810000,1810,2008年
朱,,1810000,1810,2009年
朱,,1810000,1810,2010年
朱,,1810000,1810,2011年
朱,,1810000,1810,2012年
朱,,1810000,1810,2013年
朱,,1810000,1810,2014年
朱,,1810000,1810,2015年
朱,,1810000,1810,2016年
朱,,1810000,1810,2017年
马,,1910000,1910,2005年
马,,1910000,1910,2006年
马,,1910000,1910,2007年
马,,1910000,1910,2008年
马,,1910000,1910,2009年
马,,1910000,1910,2010年
马,,1910000,1910,2011年
马,,1910000,1910,2012年
马,,1910000,1910,2013年
马,,1910000,1910,2014年
马,,1910000,1910,2015年
马,,1910000,1910,2016年
马,,1910000,1910,2017年
孙,,1940000,1940,2006年
孙,,1940000,1940,2007年
孙,,1940000,1940,2008年
孙,,1940000,1940,2009年
孙,,1940000,1940,2010年
孙,,1940000,1940,2011年
孙,,1940000,1940,2012年
孙,,1940000,1940,2013年
孙,,1940000,1940,2014年
孙,,1940000,1940,2015年
孙,,1940000,1940,2016年
孙,,1940000,1940,2017年
徐,,2040000,2040,2007年
徐,,2040000,2040,2008年
徐,,2040000,2040,2009年
徐,,2040000,2040,2010年
徐,,2040000,2040,2011年
徐,,2040000,2040,2012年
徐,,2040000,2040,2013年
徐,,2040000,2040,2014年
徐,,2040000,2040,2015年
徐,,2040000,2040,2016年
徐,,2040000,2040,2017年
周,,2680000,2680,2008年
周,,2680000,2680,2009年
周,,2680000,2680,2010年
周,,2680000,2680,2011年
周,,2680000,2680,2012年
周,,2680000,2680,2013年
周,,2680000,2680,2014年
周,,2680000,2680,2015年
周,,2680000,2680,2016年
周,,2680000,2680,2017年
吴,,2780000,2780,2009年
吴,,2780000,2780,2010年
吴,,2780000,2780,2011年
吴,,2780000,2780,2012年
吴,,2780000,2780,2013年
吴,,2780000,2780,2014年
吴,,2780000,2780,2015年
吴,,2780000,2780,2016年
吴,,2780000,2780,2017年
赵,,2860000,2860,2010年
赵,,2860000,2860,2011年
赵,,2860000,2860,2012年
赵,,2860000,2860,2013年
赵,,2860000,2860,2014年
赵,,2860000,2860,2015年
赵,,2860000,2860,2016年
赵,,2860000,2860,2017年
黄,,3370000,3370,2011年
黄,,3370000,3370,2012年
黄,,3370000,3370,2013年
黄,,3370000,3370,2014年
黄,,3370000,3370,2015年
黄,,3370000,3370,2016年
黄,,3370000,3370,2017年
黄,,3370000,3370,2011年
杨,,4620000,4620,2012年
杨,,4620000,4620,2013年
杨,,4620000,4620,2014年
杨,,4620000,4620,2015年
杨,,4620000,4620,2016年
杨,,4620000,4620,2017年
陈,,6330000,6330,2013年
陈,,6330000,6330,2014年
陈,,6330000,6330,2015年
陈,,6330000,6330,2016年
陈,,6330000,6330,2017年
刘,,7210000,7210,2014年
刘,,7210000,7210,2015年
刘,,7210000,7210,2016年
刘,,7210000,7210,2017年
张,,9540000,9540,2015年
张,,9540000,9540,2016年
张,,9540000,9540,2017年
李,,10090000,10090,2016年
李,,10090000,10090,2017年
王,,10150000,10150,2017年
